Formula,T,Seebeck,s,k,ZT
Gd2Se2.98,550,-167.2,28600,1.506,0.292
NbCo0.94Ni0.06Sn,382,-56.18,188941,9.536,0.024
LiCo0.92Ni0.08O2,423,302.07,0.01,1.409,0
Ca5Ga1.95Zn0.05Sb6,773,170.93,14941,0.905,0.373
Tl9.0Bi0.98Te6.0,443,217.4,17545,0.42,0.875
Cu11.5Gd0.5Sb4S13,625,122.64,80821,1.445,0.526
PbTe,428,-269.84,24079,1.58,0.482
Yb9Ca4BaMgSb11,300,59,17350,0.503,0.036
Bi0.88Pb0.06Yb0.06CuSeO,640,167.11,18641,0.484,0.688
Ge0.87Mn0.05Sb0.08Te,498,163.6,85600,1.665,0.7
(SnTe)0.92(CuSbTe2)0.08,526,74,195470,3.044,0.185
Ba0.15Yb0.01Co4Sb12.08,300,-125,178900,3,0.2
ZrNiPb0.9Sn0.8Bi0.02,871,-183.6,128800,5.903,0.641
CuAgTe0.5Se0.5,383,129.79,8910,0.391,0.147
ZrNiPb0.96Sn0.2Bi0.02,871,-152.2,210000,6.26,0.677
Cr1.99Mn0.01Ge2Te6,416,346.9,1609.38,0.763,0.106
Bi0.875Ba0.125CuSeO,725,212.82,9471,0.718,0.48
Eu14MgBi11,914,99.32,47700,1.63,0.267
Ge0.95Mn0.05Te,398,56.77,306186,4.289,0.092
Mg2.9875Na0.0125Sb2,373,107.8,26523,1.563,0.074
SnTe0.15AgSbSe2,700,140.4,76870,1.71,0.626
AgBiSe2.0,375,-166,8310,0.67,0.128
Bi0.92Ag0.08CuSeO,573,293.4,2020,0.425,0.234
Ge0.89In0.05Pb0.06Te,425,170.76,52273,1.213,0.534
Mg3.5Ho0.02Sb1.97Te0.03,600,-268.09,16496,0.824,0.863
Cu1.6S,300,8.45,387019,3.408,0.002
Cu5Sn2S7,678,75,139506,2.888,0.184
La0.25Ca0.75TiO3,321,-48,245200,4.063,0.045
FeNb0.92Ti0.08Sb,900,240,79000,6.3,0.65
Ca10InSb9,772,209,4250,0.72,0.199
Sn1.03Se0.12Te0.87Br0.01,523,56.17,324561,3.201,0.143
Rb2Bi8Se12.9415,724,-213.6,7841,0.59,0.439
La0.15Ca0.85TiO3,538,-107,73120,3.496,0.135
AgBiSe2.0,528,-213.7,3678,0.574,0.155
Zn0.85Cd0.15Sc0.02O1.03,973,-121,15400,3.33,0.066
Ba7.97Ga15.95Sn30.09,500,360.56,10558,0.901,0.762
BiSbSe2.88Cl0.12,600,-264,4390,0.44,0.417
Yb8Ca5BaMgSb11,900,195.7,12400,0.611,0.7
Cu3P0.9Ge0.1S4,350,127,7375,0.792,0.053
BaBiTe2.95Se0.05,525,-191.8,8000,0.409,0.365
GeSe0.5Te0.5,630,102.1,157222,2.034,0.508
Ag0.02Cu1.955S0.5Se0.5,375,151,5809,0.633,0.079
Ge0.98Mn0.01Sb0.01Te,773,147.74,143300,2.674,0.904
YbCd1.9Zn0.1Sb2,450,166.6,51250,1.645,0.389
Ca1.58Yb3.42Al2Sb6,420,29,23333,3.825,0.002
Al0.03Ge0.97Te,473,69.11,375000,4.949,0.171
(PbTe)(MnTe)0.03,523,-246.14,31862,1.323,0.763
Cu26V2Ge4Sb2S32,309,66.51,175410,2.571,0.093
Rb2Bi8Se12.9935,823,-219.6,7386,0.559,0.524
Ti0.99Mn0.01NiSn0.99Sb0.01,697,-167.3,106650,5.39,0.386
PbTe,529,-307.61,17961,1.3,0.713
Ce0.75Fe3CoSb12,783,90.2,96585,7.278,0.085
SnS0.94Se0.06,573,305,20600,1.33,0.826
Bi1.9Nb0.1Te3,572,-105.5,34481,0.74,0.297
Li1.04Co0.85Ni0.15O2,423,249,0.48,2.008,0
Cu12Sb4S13,522,123.2,30440,0.653,0.365
Bi0.88Pb0.06Yb0.06CuSeO,446,132.57,30968,0.573,0.423
Cu26V2Ge3Sb3S32,309,116.2,57368,1.692,0.141
Ge1.04Te,323,72,463000,5.24,0.17
Ba0.11Yb0.03Co4Sb12,600,-166.9,119000,3.113,0.634
Ge0.95Mn0.05Te,648,140.32,160825,2.546,0.806
Ba8.07Cu4.89Si41.03,763,-91,103700,2.88,0.228
Ca1.58Yb3.42Al2Sb6,327,21,30357,4,0.001
Sn0.96Pb0.01Cd0.035Se,823,283.77,8864,0.355,1.653
Na0.36Co4Sb12,850,-190,117000,1.8,1
EuZn2Sb2,500,161.7,78700,1.674,0.615
SnTe,763,120.24,140828,2.934,0.533
Sr14MgBi11,914,127.84,50694,1.35,0.561
Cu1.875Ag0.125SnSe3,300,173.74,3184,1.102,0.026
(Cu3SnS4)0.875(Ga2Te3)0.125,741,170.2,34493,1.385,0.535
Li1.1Co0.85Ni0.15O2,1023,284.5,1114.24,1.316,0.07
Cu5Sn2S6.65Cl0.35,300,41.48,168657,2.838,0.031
Ca9Yb2Sb7Ge3,327,20.74,309,1.019,0
(SnTe)0.98(CuSbTe2)0.02,320,25.55,513706,6.988,0.015
Sr0.21Co4Sb12.25,600,-176,146364,3.68,0.739
Cu2Se0.9S0.1,520,86.14,65143,0.696,0.361
Pb0.985Zn0.03Te,622,-276.36,24868,1.181,1
Sn1.03Se0.12Te0.875Br0.005,723,151.13,84211,2.182,0.61
Mg3.5Gd0.02Sb2,600,-295,9147,0.77,0.62
Ca3Co3.9Ti0.1O9,500,149.46,5964,2.434,0.027
Bi0.94Pb0.06CuSeO,50,26.29,189824,2.166,0.003
Ge0.89In0.05Pb0.06Te,525,185.71,54245,1.227,0.801
CuMo6Te8,600,11.52,178000,3.64,0.004
Zn0.9Cd0.1Sc0.02O1.03,1173,-160,26500,2.83,0.281
Cu22Sn9SbS32,400,90.58,87805,2.294,0.126
AgBi0.85Sb0.15Se2,500,510.64,239.6,0.397,0.079
In0.005Pb0.995Te0.996I0.004,428,-200,42700,1.756,0.416
Cu22Sn9.25Sb0.75S32,600,112.62,91139,1.885,0.368
Ti0.925Mn0.075NiSn0.925Sb0.075,297,-72.22,300000,7.128,0.065
Cu2.82Ag0.18SbSe4,398,381,7510,1.15,0.377
Ge0.55Pb0.45Te0.5Se0.5,569,293.17,7534,0.502,0.788
FeNb0.80Ti0.20Sb,700,150,165000,5.3,0.49
Sn1.03Se0.12Te0.875Br0.005,823,163,66667,2.2,0.663
(SnTe)0.88(CuSbTe2)0.12,818,151.1,92485,1.776,0.972
Ge0.98Mn0.02Te,698,145.16,137113,2.385,0.846
Ag8GeTe6,607,324,1760,0.309,0.368
K0.99Ba0.01GaSb4,602,-245.92,11141,0.612,0.663
AgBiSe2,500,421.88,240,0.518,0.041
In4Pb0.01Sn0.03Se2.9Cl0.02,323,-205,7453,0.946,0.107
(SnTe)8Sb2Te3,423,120.26,117848,1.89,0.381
Ta0.98Ti0.02FeSb,570,263,46900,6.133,0.301
Cu2Sn0.95Fe0.05Se3,823,185,29592,1,0.85
Mg2.994Na0.006Sb2,663,213,12375,0.865,0.43
BiSbSe2.76Cl0.24,700,-245,6188,0.41,0.634
Cu2Zn0.2Fe0.8SnSe4,773,221.39,6210,0.693,0.34
AgBiSe2.0,296,-154,7232,0.645,0.079
AgCuTe0.6Se0.4,320,219.23,11068,0.536,0.318
Cu2.82Ag0.18SbSe4,373,370,8522,1.24,0.36
(Cu0.001Pb0.999Te)(MnTe)0.03,323,-227.02,46069,1.813,0.423
NbCo0.92Ni0.08Sn,600,-105,126512,7.452,0.112
Ca3Co3.7Ti0.3O9,700,248,5226,2.012,0.112
Cu10.5Ni1.5Sb4S13,715,194.2,23875,0.793,0.811
Cu3P0.7Ge0.3S4,500,97,47000,1.2,0.184
(GeTe)0.7(AgSnSe2)0.3,423,36.02,67097,1.375,0.027
Cu11ZnSb4S13,720,245.6,7710,0.307,1.091
Ag1.3Sb0.9Pb15.7Te22.0,623,40,1670,1.05,0.002
Ba8Cu5.18Si9.98Ge30.85,466,-101,65700,1.68,0.186
Mg1.98Ag0.02Zn0.98Sb2,300,94.71,62222,1.078,0.155
Sn0.965Pb0.01Cd0.025Se,373,336,3317,0.783,0.178
Nb0.8Ta0.2CoSn0.9Sb0.1,430,-116.15,118156,4.727,0.145
Cu7P(S0.65Se0.35)6,422,297.4,559,0.209,0.1
Ba8.01Ga15.88Zn0.009Sn30.11,420,423,6360,0.829,0.577
Ca10ZnSb9,473,32.46,35.77,0.596,0
FeNb0.88Hf0.12Sb,1200,246.1,82946,4.186,1.457
Tl9.0Bi0.95Te6.0,325,140,37455,0.592,0.403
Ce0.75Fe3CoSb12,423,79.3,132190,7.025,0.05
Ca10InSb9,398,125.94,2218,0.791,0.018
Al0.0075Sb0.1Ge0.8925Te,823,259.9,56305,1.511,1.984
Rb2Bi8Se12.961,823,-202,11818,0.543,0.731
AgCuTe0.5Se0.5,320,97.32,5534,0.341,0.049
Cu2.5Sn0.5Sb0.5Se3.5,372,34.29,455113,5.026,0.04
Al0.01Ge0.99Te,773,144.6,191071,3.06,0.962
Ag0.4Sb1.1Pb19.6Te18.8,673,-143,37000,1.367,0.372
CuFe0.96In0.04S2,390,-357.9,3916,3.337,0.059
Ge0.55Sb0.25Te0.8(AgSnSe2)0.2,723,191.3,37419,0.875,1.19
Mg1.98Li0.02Zn0.98Sb2,573,129.63,55026,1.012,0.524
Ag0.97Cr0.95Bi0.05Se2,603,126.69,12336,0.457,0.261
Cu11.6Gd0.4Sb4S13,724,145.2,66010,1.306,0.771
Ca0.99Yb4.01Al2Sb5.84Ge0.16,304,180.3,607,1.25,0.005
Cu2CdSnSe4,350,238,2741,2.35,0.023
Bi0.825Ba0.175CuSeO,725,201.28,11635,0.586,0.686
Eu(Zn0.9Cd0.1)2Sb2,350,138,95200,2.08,0.305
Ag2.0Se0.5Te0.5,375,-104,64000,0.67,0.387
Er0.02(Bi0.23Sb0.77)1.98Te3,400,237.52,40731,0.845,1.088
CuAgTe0.7Se0.3,393,261.68,7133,0.216,0.887
Ca0.2BaGd1.8NiO5,489,211.03,73.47,1.654,0.001
AgBi0.85Sb0.15Se2,525,526.6,238.8,0.418,0.083
Ge0.55Pb0.45Te0.5Se0.5,470,300.62,6875,0.529,0.58
Rb2Bi8Se12.9415,428,-194.4,8030,0.664,0.196
Rb2Bi8Se12.9805Cl0.0195,823,-167.55,12132,0.604,0.464
TlCr5Se8,723,296,4880,0.68,0.455
Ce0.2Bi1.8Te3,373,-141.2,84083,0.577,1.084
Mg3Sb2,565,296,688,0.89,0.038
Bi0.92Ag0.08CuSeO,323,184.7,2420,0.526,0.051
Sn0.985In0.015Te,423,63.65,420230,5.722,0.126
SnSe0.9S0.1,573,305.66,4189,0.805,0.256
Cu2.025Cd0.975SnSe4,600,194.8,6879,0.993,0.158
CuGa0.97Mn0.03Te2,525,224,21053,3.184,0.174
LiCoO2,923,742.07,27.52,2.671,0.005
Ag0.97Cr0.97Sb0.03Se2,703,150,15772,0.405,0.615
Sm0.15Co4Sb12,300,-131,210000,2.3,0.3
CoSb3.0,373,-218,3125,6.1,0.009
Ag0.01Sn0.99Se0.9S0.1,666,410.26,837,0.237,0.396
Yb14MgBi11,717,78.64,62393,1.833,0.151
(PbTe)0.05(Ag2Te)0.95,550,-154.6,29000,0.469,0.822
LiGe11.5Sb2Te15,523,243,46630,1.375,1.06
Ag0.97Cr0.99Bi0.01Se2,503,111.86,12368,0.453,0.172
Sr14.8Ga28.6Ge56.6,408,-87.3,108391,2.151,0.157
Cu12Sb4S13,324,73.68,103319,1.511,0.12
Gd2.79Se4,850,-150.4,15130,1.26,0.231
Pb0.98Zn0.035Te,719,-273.7,25860,1.141,1.221
Mg3.5Ho0.04Sb2,700,-310.49,9655,0.717,0.909
Ca2Yb9Sb10,327,1.63,150204,1.78,0
Sb2Si2Te6,373,139.8,30275,0.861,0.256
Gd2.84Se4,450,-77.9,31600,1.287,0.067
Cu11.5Gd0.5Sb4S13,425,98.55,90336,1.406,0.265
Nb0.8 Co0.92Ni0.08Sb,1123,-213,44510,1.69,0.9
Ag0.6Sb0.9Pb19.5Te19.1,673,-198,27700,1.7,0.42
Sr14.1Ga29.6Ge56.3,669,-161,38620,1.625,0.412
In0.015Pb0.985Te0.994I0.006,481,-219.5,25300,1.515,0.389
TiZr0.015NiSn,423,-176.49,47231,2.38,0.277
Cu5SnSbSe7,473,43.79,370500,4.629,0.073
Ca3AlSb3,822,390,516,0.622,0.101
Mg3.5Gd0.045Sb2,500,-244.29,19592,0.939,0.623
Cu2.075Sn0.925S3,500,61.15,225000,3.271,0.129
Rb2Bi8Se12.9805,428,-257.2,5455,0.619,0.25
(PbTe)0.15(Ag2Te)0.85,550,-174.7,24300,0.523,0.772
Ag0.98Nb0.02BiSe2.0,577,-223.7,6305,0.487,0.374
(Zn0.95In0.05)4Sb3,373,155.8,24528,0.843,0.263
As2Te2.8Se0.2,323,192.08,921.06,0.619,0.018
ZrNiSn,376,-101.04,36966,4.22,0.034
Mg3.07Sb1.5Bi0.47Se0.03,400,-293.48,8602,0.735,0.403
Yb12CaBaMgSb11,1000,207.46,13466,0.678,0.855
Ba0.9K0.1Zn2As2,623,71,106670,2.901,0.115
Cr1.99Fe0.01Ge2Te6,713,315.46,2488.37,0.623,0.284
Cu1.9Ag0.1SnSe3,600,194.44,4133,0.629,0.149
Ti0.98Mn0.02NiSn0.98Sb0.02,697,-153.7,152318,5.56,0.451
Ag8Sn0.7Ga0.3Se6,426,-442.99,132,0.243,0.069
Yb13.44Ce0.4Mn1.09Sb11.07,473,102.6,28150,0.742,0.189
Bi0.96Pb0.04CuSeO,50,29.63,213745,2.79,0.003
Bi2.0S2.91Se0.09,523,-483,464,0.585,0.097
Cu2SnSe3,800,214.65,10333,0.737,0.517
Yb0.19Co4Sb12,300,-141,164000,2.9,0.3
Cu2.1Cd0.9SnSe4,400,134.7,22184,1.45,0.111
Mg2.16(Si0.4Sn0.6)0.97Bi0.03,300,-120.35,203876,2.765,0.32
Ag8Sn0.6Ga0.4Se6,601,-303.5,2343,0.296,0.439
Ba0.24Co4Sb11.87,300,-88,323400,3.4,0.1
Ti0.95Mn0.05NiSn0.95Sb0.05,797,-160,168874,5.597,0.616
Ca0.15BaGd1.85NiO5,1275,221.32,546.52,1.57,0.022
Cu2SnSe3,500,125,15909,1.06,0.117
Cu3Sb0.998In0.002Se4,373,284.5,4444,1.92,0.07
Ag0.97Cr0.95Bi0.05Se2,703,162.71,8902,0.464,0.357
Pb0.99Tl0.01Te,301,119.81,59076,2.256,0.113
Eu(Zn0.9Cd0.1)2Sb2,450,161.5,81400,1.75,0.546
Cu2.5Sn0.5Sb0.5Se3.5,473,42.86,370149,4.645,0.069
Cu2.7Ag0.3ErTe3,800,117,43560,0.66,0.723
AgBiSe2.0,660,-272,4251,0.467,0.444
SnS,500,624,2.5,0.875,0.001
Yb13.44Ce0.4Mn1.09Sb11.07,1173,230.4,11750,0.726,1.008
GeSe0.9Te0.1,320,75.31,2974,1.932,0.003
Ca2Yb9Sb10,419,4.89,132653,1.944,0.001
SnTe,714,99,177515,3.328,0.379
Ca0.15BaGd1.85NiO5,513,224.26,123.54,2.04,0.002
Ge0.99Mn0.01Te,398,43.87,432990,5.914,0.056
CuFe0.92In0.08S2,510,-372.5,2630,2.037,0.091
Cr2Ge2Te6,320,573.71,46.88,0.916,0.005
Eu0.34Co4Sb12,300,-71,416200,2,0.1
Bi2.0S3.0,523,-627,72.4,0.505,0.029
Ag(Bi0.85Pb0.15)0.9Sb0.1Se2,576,313.89,522,0.461,0.064
Zn0.85Cd0.15Sc0.02O1.03,873,-108,16800,3.8,0.045
Yb12CaBaMgSb11,600,127.07,21416,0.719,0.289
(Ag0.1Sb0.1Sn0.8)(S0.1Se0.1Te0.8),593,129.9,82710,1.392,0.595
Ba0.5Cr5Se8,743,294.26,1411,0.956,0.095
S0.08Pd0.20Co3.80Sb12.04,850,-213,47600,2.8,0.5
TiNiSn,797,-154.81,103311,5.678,0.348
GeSe0.6Te0.4,728,122.2,115672,2.264,0.555
Cu2.025Cd0.975SnSe4,300,173,5362,2.673,0.018
Mg2.16(Si0.4Sn0.6)0.97Bi0.03,500,-162.8,146100,2.389,0.81
BiCuSeO,673,363,1800,0.493,0.324
YbCd1.8Zn0.2Sb3,450,165.1,54813,1.575,0.427
Ca9Yb2Sb9Ge,608,7.11,16907,0.988,0.001
Cu2Se0.94S0.06,750,223.68,22629,0.744,1.141
La0.3Co4Sb12,573,93,26217,3.333,0.039
Yb14MgBi11,1013,108,54670,1.626,0.397
Cu2Se0.92I0.08,350,175,11446,0.256,0.479
GeSe0.65Te0.35,430,18,110075,1.864,0.008
CuFe0.98In0.02S2,390,-348.8,4715,4,0.056
Sn0.98Ce0.02Te,423,40.86,321520,4.155,0.055
CaTiO3,840,-295.3,2150,3.14,0.05
Ba0.95K0.05Zn2As2,323,31,213333,3.733,0.018
GeSe0.75Te0.25,430,20.53,83955,1.626,0.009
Cu2CdSnSe4,550,261.7,3465,1.37,0.095
Zn0.97Al0.03O,373,-68,49000,7.4,0.011
Zn0.9Cd0.1Sc0.03O1.045,673,-111,40000,4.38,0.076
(Sn0.985In0.015Te)0.85(AgCl)0.15,623,98.99,195506,2.978,0.396
Ti0.97Mn0.03NiSn0.97Sb0.03,297,-95.57,143709,5.94,0.066
Cu22Sn9SbS32,300,72.46,103152,2.8,0.058
YbCd1.7Zn0.3Sb2,650,179,49043,1.288,0.833
Ag0.4Sb1.1Pb19.6Te18.8,623,-145.6,24032,1.34,0.237
Mg2Cu3In3Te8,620,283,5950,1.548,0.191
GeSe,326,774.26,3.13,2.845,0
Ag0.98Nb0.02BiSe2.0,478,-164.7,11852,0.666,0.231
Ba8.01Ga15.88Zn0.009Sn30.11,340,389.08,7197,0.883,0.42
As2Te2.9Se0.1,373,159.41,1063.62,0.634,0.023
Gd2.84Se4,350,-58.5,35100,1.283,0.033
Ba0.5Cr5Se8,507.4,285.81,709,1.278,0.023
Zn0.9Cd0.1Sc0.02O1.03,373,-80,55500,6.5,0.02
Ag2.0Se0.9Te0.1,300,-137.8,90000,0.79,0.649
Tl9.0Sb0.98Te6,326,106,53000,0.69,0.281
Sn0.97Mn0.03Te,527,69.92,268639,5.026,0.138
Hf0.8Ti0.2CoSb0.8Sn0.2,885,229,47670,2.669,0.829
Li0.02Cu1.85Se,502,35.71,296154,3.261,0.058
Cu2SnSe3,823,207.38,8844,0.9,0.352
Cu10.5Ni1.3Zn0.2Sb4S13,517,177,22570,0.658,0.562
Ca2Yb9Sb10,701,13.48,107292,2.348,0.006
Ca0.25BaGd1.75NiO5,579,163.97,131.27,1.3,0.002
Ba0.10La0.05Yb0.10Co4Sb12,850,-185,163100,0.3,1.6
LiCo0.96Ni0.04O2,323,390.34,0,2.034,0
Ca0.1BaGd1.9NiO5,939,163.97,192.81,1.875,0.003
Cu22Sn10S32,300,44.63,246575,3.514,0.042
Mg3.07Sb1.5Bi0.44Se0.06,500,-312.69,9022,0.74,0.596
Gd2Se2.92,650,-131.16,21329,1.245,0.192
Ca0.05BaGd1.95NiO5,1037,256.62,107.19,1.384,0.005
Ca1.14Yb3.86Al1.68In0.32Sb6,330,156.9,9024,1.133,0.065
Cu1.99In0.01Se,572,164.85,41892,0.888,0.7
CuGa0.99Mn0.01Te2,375,339.7,5702,4.44,0.056
CoAsSb,900,-81.7,112033,5.315,0.127
FeNb0.86Hf0.14Sb,700,165,217829,4.966,0.836
Ge0.55Pb0.45Te0.2Se0.8,470,280.63,2022,0.78,0.049
NbCo0.94Ni0.06Sn,998,-112.35,91905,6.071,0.191
S0.04Pd0.20Co3.80Sb11.99,580,-216,58900,2.8,0.6
(SnTe)25Sb2Te3,623,114.57,159250,2.81,0.463
Ag(Bi0.9Nb0.1)0.7Sb0.3Se2,676,-278,2818,0.558,0.264
(CaZn0.4Ag0.2Sb)0.83(LiZnSb)0.17,472,143.51,33592,0.907,0.36
Bi0.96Ag0.04CuSeO,873,343,2735,0.466,0.603
As2Te2Se,298,224.24,6.23,0.473,0
Pb0.9825Tl0.0075Na0.01Te,301,105.84,108496,2.522,0.145
As2Te2Se,323,242.42,9.21,0.46,0
YbCd1.9Zn0.1Sb2,350,137.32,61377,1.955,0.207
Pb0.99Tl0.01Te,696,273.53,23824,0.961,1.291
Ti0.99Mn0.01NiSn0.99Sb0.01,797,-164.97,112583,5.6,0.436
Mg1.98K0.02Zn0.98Sb2,373,237.04,8677,0.667,0.273
In3.94Pb0.06Se3,480,-256,8700,1.22,0.224
Cu7P(S0.6Se0.4)6,325,288.7,379,0.22,0.047
AgCuTe0.8Se0.2,320,97,29515,0.635,0.14
GeTe,698,142.58,162887,2.514,0.919
Rb2Bi8Se12.961,724,-228.8,8295,0.526,0.598
Yb8Ca5BaMgSb11,500,129.3,14600,0.578,0.211
Ca3Al0.98Zn0.02Sb3,622,248,4350,0.83,0.205
Li0.01Cu1.85Se,301,26.49,436538,2.425,0.038
Ag0.04Cr1.96Se3,405,110.39,34110,1.499,0.112
AgSb0.93Mn0.07Te2,442,103.83,91351,1.184,0.368
Mg2ZnSb2,473,150.33,1523,0.741,0.022
Al0.0075Sb0.1Ge0.8925Te,373,167.2,53333,1.491,0.373
(Cu3SnS4)0.895(Ga2Te3)0.105,405,62.63,161268,2.886,0.089
Gd2Se2.98,650,-183.8,24060,1.358,0.389
Cu26V2Ge6S32,309,18.81,545000,5.315,0.011
MgAgSb0.985In0.015,500,183.09,77838,1.449,0.9
Ca3Co2O6,873,142,8100,3.87,0.037
Ca1.14Yb3.86Al1.68In0.32Sb6,725,143.37,6402,1.025,0.093
SnS0.94Se0.06,423,259,47100,1.81,0.738
CrSe3,619,165.6,23036,1.781,0.218
Co4Sb11.7Te0.3,850,-231,33000,3.3,0.4
Ga0.03Co4Sb11.985Ga0.015,650,-268,11800,2.4,0.2
Cu2Zn0.8Fe0.2SnSe4,473,360.12,155.35,1.539,0.006
Al0.03Ge0.97Te,323,37.5,555357,6.051,0.042
Cu5Sn2Se7,500,34.42,383900,4.304,0.053
Zn0.95Cd0.05Sc0.02O1.03,673,-110,16000,5.92,0.022
NbCoSb,974,-139.8,101380,3.04,0.4
Ag(Bi0.9Nb0.1)0.7Sb0.3Se2,478,-263,2089,0.54,0.128
Yb13.44Ce0.4Mn1.09Sb11.07,573,130.5,23502,0.739,0.31
NbCo0.98Ni0.02Sn,605,-161.76,59048,8.321,0.112
Co0.95Ni0.05GeTe,701,-94.04,120899,4.893,0.153
SnS0.91Se0.09,423,242.5,73350,1.71,1.054
Ca5Ga1.8Zn0.2Sb6,525,85.7,45100,1.51,0.115
Cu0.99Pd0.01FeS2,70,-172.5,1382,29.2,0
Li1.1Co0.85Ni0.15O2,523,228.5,9.4,2.721,0
La0.2Ca0.8TiO3,840,-153,40322,2.846,0.279
TaFeSb,770,98,3324,5.018,0.005
Bi0.92Pb0.04Yb0.04CuSeO,747,223.36,7336,0.454,0.603
Ag0.02Cu1.955S0.5Se0.5,300,141.15,4191,0.446,0.056
Rb2Bi8Se12.9909Cl0.0091,526,-201.26,6176,0.537,0.245
(Cu0.004Pb0.996Te)(MnTe)0.03,523,-173.33,78759,1.563,0.792
SnSe0.8S0.2,573,319.81,2742,0.785,0.205
Cu3Sb0.9875Ge0.0125S4,573,424.3,1891,0.809,0.241
CrO0.09N0.9,250,-56.8,34457,4.388,0.006
CuAgTe0.5Se0.5,408,225,7361,0.302,0.503
Sn1.03Se0.12Te0.865Br0.015,823,164.5,63158,2.107,0.668
Sn1.03Se0.12Te0.875Br0.005,623,120,145614,2.597,0.458
CuFeS2,300,-361.6,5270,8.425,0.025
Cr1.99Fe0.01Ge2Te6,416,468.04,304.69,0.78,0.036
Sb2Si2Te6,673,213.37,13750,0.5,0.843
Cu3P0.6Ge0.4S4,350,57,97400,1.63,0.068
In4Se2.32Cl0.03,423,-246.15,23400,0.993,0.6
Ag2Se,362,-98.24,233115,1.307,0.623
ZrNiPb0.94Sn0.4Bi0.02,303,-85.24,376450,5.919,0.14
Ba0.10La0.05Yb0.20Co4Sb12,300,-93,336700,1,0.3
Co0.97Ni0.03GeTe,394,-94.89,84574,5.84,0.051
Mg0.98Li0.02Ge0.9Si0.1,675,281.2,19385,2.684,0.386
Eu2Zn0.96Sb2,823,193,15340,0.5,0.941
Sb0.05Ge0.95Te,673,189.63,118349,2.218,1.291
Bi1.9Nb0.1Te3,426,-112.53,64706,0.777,0.449
Ge0.55Pb0.45Te0.3Se0.7,300,258.13,4955,0.788,0.163
Mg3.5Gd0.03Sb1.97Te0.03,700,-279.58,13218,0.634,1.141
Pb6Bi2Se9,623,-189.8,11769,1.12,0.236
Nd2.86Te4,573,-68.8,114085,2,0.151
CrSe3,566,159.86,24786,1.758,0.204
Ag0.01Cu1.965S0.5Se0.5,578,112.44,37426,0.92,0.306
Yb9Ca4BaMgSb11,700,164,15350,0.596,0.485
Ag0.6Sb0.9Pb19.5Te19.1,623,-200,22500,1.666,0.337
Cu2Se,400,166.7,40986,0.2,2.278
Ge0.55Pb0.45Te0.2Se0.8,569,230,2321,0.914,0.071
Ca1.18Yb3.82Al1.84In0.16Sb6,619,41.7,32600,2.492,0.012
Ag(Bi0.9Nb0.1)0.9Sb0.1Se2,526,-181,11567,0.628,0.317
Mg2Cu3In3Te8,427,338.3,1793,2.31,0.038
Ca5In1.95Zn0.05Sb6,622,209,14350,0.91,0.428
Yb0.12Co4Sb12.11,800,-220,68000,1.6,1
Sb0.1Ge0.9Te,673,240,60550,1.454,1.592
Cu3.0SbSe4,548,369,5150,1.2,0.32
LiCoO2,823,788.97,13.74,3.318,0.002
Sr14.5Ga29.2Ge56.3,774,-166.67,40300,1.754,0.494
LiCo0.96Ni0.04O2,823,718.62,17.78,1.579,0.005
NbCoSn0.9Sb0.1,430,-99.62,140000,6.177,0.097
Sn0.91Mn0.08Bi0.01Te,523,88,216000,3.785,0.231
Ge0.6Sb0.2Te0.8(AgSnSe2)0.2,523,187,42600,0.805,1.011
Sn0.96Pb0.01Cd0.035Se,673,408,2048,0.338,0.679
Sn1.03Se0.12Te0.875Br0.005,523,62.93,256140,3.34,0.148
Rb2Bi8Se12.9935Cl0.0065,526,-269.69,3676,0.477,0.295
Cu2.88Ag0.12SbSe4,498,400,6447,1.04,0.5
FeNb0.92Hf0.08Sb,700,205.4,132600,5.626,0.696
YbSi2,522,-36.7,620500,10.4,0.042
Ca14MgSb11,600,130,5400,0.665,0.082
Yb13.44Ce0.4Mn1.09Sb11.07,973,215,11800,0.645,0.823
Ba8Cu5Si25Ge16,661,-102.5,78400,1.91,0.284
Cu2Sn0.95Zn0.05S3,623,173,11800,0.762,0.289
Ba8.02Cu5.04Si6Ge34.93,566,-107,60700,1.4,0.282
BaBiTe3,598,-183.6,8515,0.43,0.399
Rb2Bi8Se12.9935Cl0.0065,330,-199.25,9559,0.622,0.201
(Sn0.8Ge0.2)0.88Mn0.12Te,298,50,226695,2.559,0.066
Gd2.79Se4,650,-122,18170,1.264,0.139
(SnTe)0.94(CuSbTe2)0.06,320,30.2,406300,4.435,0.027
Ca1.11Yb3.89Al2Sb5.77Ge0.23,373,39,19346,2.274,0.005
Ca1.14Yb3.86Al1.68In0.32Sb6,579,185.64,5305,0.917,0.115
Ag2.0Se0.6Te0.4,360,-113,79266,0.737,0.494
BiSbSe2.88Cl0.12,700,-289,3615,0.416,0.508
In0.005Pb0.995Te0.999I0.001,378,-254.72,23016,1.734,0.322
Ge4Sb2Te7,523,83.4,117780,1.888,0.227
Cu2.7Ag0.3ErTe3,300,41.4,271000,2.35,0.059
Ge0.55Pb0.45Te0.3Se0.7,370,271.88,5288,0.666,0.275
Ge0.89In0.05Pb0.06Te,375,152.94,58081,1.247,0.409
CaZn0.4Ag0.2Sb,673,136.2,40373,0.853,0.591
ZrNiPb0.993Bi0.007,771,-210.2,96296,6.314,0.52
